epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6518,1.64304,3.44421,2.01579,0.00383,0.72723,0.29203,0.19636,1.12549,3.78297,1.58236,0.00020004,0.00020004,0.00020004
2,120.512,1.37749,2.89344,1.66042,0.00401,0.72516,0.31346,0.16341,1.17177,3.67547,1.68242,0.000408498,0.000408498,0.000408498
3,180.376,1.54576,2.63656,1.80352,0.00658,0.70342,0.29069,0.17658,1.11953,3.44755,1.5968,0.000608375,0.000608375,0.000608375
4,233.79,1.25491,2.30294,1.63426,0.79305,0.20238,0.22901,0.13214,1.3177,3.48799,1.73946,0.00079967,0.00079967,0.00079967
5,288.227,1.2223,2.26244,1.56436,0.80189,0.2359,0.30197,0.16722,1.28304,3.35762,1.86183,0.000982383,0.000982383,0.000982383
6,341.612,1.21162,2.09399,1.55588,0.81677,0.27381,0.40502,0.22508,1.23477,2.89095,1.95025,0.00115651,0.00115651,0.00115651
7,394.695,1.20332,2.32459,1.64917,0.82391,0.24094,0.53769,0.31128,1.13893,2.83918,1.65903,0.00132206,0.00132206,0.00132206
8,446.802,1.24359,2.13566,1.56996,0.55427,0.55694,0.55861,0.34305,1.14541,2.48216,1.69961,0.00143595,0.00143595,0.00143595
9,499.335,1.23194,2.01085,1.61535,0.55427,0.55694,0.55861,0.34305,1.14541,2.48216,1.69961,0.00140295,0.00140295,0.00140295
10,551.328,1.21482,2.10421,1.61868,0.74559,0.37926,0.52753,0.33164,1.06002,2.83741,1.54987,0.00136994,0.00136994,0.00136994
11,604.327,1.22668,2.00693,1.52113,0.8878,0.32924,0.57427,0.3707,1.00454,2.80125,1.5086,0.00133693,0.00133693,0.00133693
12,660.085,1.25198,1.91225,1.53276,0.51969,0.34262,0.49396,0.26051,1.07805,2.84482,1.57954,0.00130393,0.00130393,0.00130393
13,714.358,1.26356,2.22626,1.53237,0.42415,0.65994,0.53088,0.35126,1.0598,2.39221,1.53563,0.00127092,0.00127092,0.00127092
14,766.939,1.23427,2.05612,1.63284,0.4613,0.67137,0.60101,0.38346,1.13191,2.70526,1.62816,0.00123791,0.00123791,0.00123791
15,823.19,1.21272,2.13658,1.54096,0.4613,0.67137,0.60101,0.38346,1.13191,2.70526,1.62816,0.00120491,0.00120491,0.00120491
16,879.213,1.21777,2.0195,1.63631,0.54565,0.60611,0.60927,0.38973,1.14268,2.81994,1.74017,0.0011719,0.0011719,0.0011719
17,932.13,1.20101,1.9252,1.55762,0.81803,0.56771,0.67353,0.45979,1.08185,2.37768,1.66728,0.00113889,0.00113889,0.00113889
18,984.483,1.26785,2.05427,1.58818,0.7155,0.5796,0.6774,0.44083,1.01952,2.44047,1.49292,0.00110589,0.00110589,0.00110589
19,1037.1,1.15155,1.73564,1.53105,0.58713,0.79138,0.75704,0.43223,1.16006,2.95345,1.57753,0.00107288,0.00107288,0.00107288
20,1089.07,1.29137,2.03485,1.70133,0.58713,0.79138,0.75704,0.43223,1.16006,2.95345,1.57753,0.00103987,0.00103987,0.00103987
21,1141.16,1.13478,1.75103,1.48464,0.67335,0.75673,0.73381,0.41227,1.23602,3.50157,1.70587,0.00100687,0.00100687,0.00100687
22,1193.32,1.22746,1.94606,1.50904,0.62989,0.73052,0.70654,0.42183,1.23181,4.1714,1.72483,0.000973861,0.000973861,0.000973861
23,1245.34,1.16816,1.74894,1.52674,0.75692,0.7011,0.7839,0.49941,1.0745,3.6273,1.52817,0.000940855,0.000940855,0.000940855
24,1298.96,1.05066,1.5358,1.40572,0.69097,0.75673,0.79213,0.55967,0.94051,2.34455,1.40672,0.000907848,0.000907848,0.000907848
25,1351.88,1.1733,1.68221,1.47218,0.69097,0.75673,0.79213,0.55967,0.94051,2.34455,1.40672,0.000874842,0.000874842,0.000874842
26,1403.65,1.07094,1.65098,1.4904,0.69844,0.6534,0.74407,0.51915,0.95583,1.98272,1.41554,0.000841835,0.000841835,0.000841835
27,1457.13,1.16229,1.94636,1.54907,0.63447,0.83012,0.80483,0.54667,0.97239,1.85556,1.40412,0.000808828,0.000808828,0.000808828
28,1510.25,0.94107,1.54106,1.38199,0.74228,0.82195,0.85578,0.5939,0.89148,1.83256,1.32145,0.000775822,0.000775822,0.000775822
29,1563.16,0.98749,1.50538,1.39641,0.81714,0.77521,0.8575,0.61236,0.84635,1.86519,1.29031,0.000742815,0.000742815,0.000742815
30,1616.87,1.08131,1.74625,1.60753,0.84199,0.75878,0.84208,0.60977,0.8671,1.87077,1.33585,0.000709809,0.000709809,0.000709809
31,1670.41,1.0321,1.6786,1.45796,0.84199,0.75878,0.84208,0.60977,0.8671,1.87077,1.33585,0.000676802,0.000676802,0.000676802
32,1722.67,0.92138,1.47323,1.39631,0.8286,0.80757,0.83912,0.60177,0.89255,1.75051,1.39144,0.000643795,0.000643795,0.000643795
33,1775.05,1.00213,1.60535,1.37969,0.8229,0.78577,0.83287,0.59289,0.91177,1.68509,1.40388,0.000610789,0.000610789,0.000610789
34,1827.52,1.14297,1.60759,1.43031,0.74189,0.7764,0.80627,0.57982,0.8959,1.61357,1.37225,0.000577782,0.000577782,0.000577782
35,1879.84,1.0081,1.51059,1.33794,0.8805,0.70911,0.84489,0.60505,0.86439,1.50834,1.32741,0.000544776,0.000544776,0.000544776
36,1932.07,1.0594,1.42916,1.40683,0.8805,0.70911,0.84489,0.60505,0.86439,1.50834,1.32741,0.000511769,0.000511769,0.000511769
37,1984.04,0.81554,1.29814,1.31828,0.86782,0.85315,0.87074,0.63895,0.82043,1.43195,1.25716,0.000478762,0.000478762,0.000478762
